WITH X Position from IMU Setpoint (in cm),WITH Velocity Estimate from Encoder (in rad/s),WITHOUT X Position from IMU Setpoint (in cm),WITHOUT Velocity Estimate from Encoder (in rad/s),Time ,,,,,,,,,,
0.5,10.16,5.1875,-0.02,0.1202083333,,,,,,,,,,
0.6875,10.25,5.5625,-0.02,0.1203125000,,,,,,,,,,
0.9375,10.1,5.8125,0.01,0.1204166667,,,,,,,,,,
1.1875,10.09,6.0625,-0.01,0.1205208333,,,,,,,,,,
1.5,10.35,6.3125,0.01,0.1206250000,,,,,,,,,,
1.875,10.42,6.5,0.01,0.1207291667,,,,,,,,,,
2.125,10.33,6.625,-0.02,0.1208333333,,,,,,,,,,
2.125,9.91,6.8125,-0.02,0.1209375000,,,,,,,,,,
2.125,9.53,6.9375,-0.02,0.1210416667,,,,,,,,,,
2.125,8.98,7,0.05,0.1211458333,,,,,,,,,,
2.0625,8.19,7,-0.02,0.1212500000,,,,,,,,,,
2.125,7.46,7.0625,0,0.1213541667,,,,,,,,,,
2.25,6.33,7.0625,0.01,0.1214583333,,,,,,,,,,
2.6875,5.32,7.0625,0.01,0.1215625000,,,,,,,,,,
2.5,4.93,7.0625,0,0.1216666667,,,,,,,,,,
2.625,4.82,7,0.01,0.1217708333,,,,,,,,,,
2.5625,4.96,6.9375,-0.03,0.1218750000,,,,,,,,,,
2.4375,5.07,6.8125,-0.01,0.1219791667,,,,,,,,,,
2.375,5.01,6.6875,-0.01,0.1220833333,,,,,,,,,,
2.3125,4.66,6.5,0.03,0.1221875000,,,,,,,,,,
2.3125,3.53,6.3125,-0.01,0.1222916667,,,,,,,,,,
2.25,3.11,6.0625,0.02,0.1223958333,,,,,,,,,,
2.4375,1.93,5.75,0.01,0.1225000000,,,,,,,,,,
2.25,1.36,5.4375,0.06,0.1226041667,,,,,,,,,,
1.9375,0.81,5.125,-0.05,0.1227083333,,,,,,,,,,
1.75,0.38,4.8125,-0.04,0.1228125000,,,,,,,,,,
1.4375,-0.13,4.4375,0.06,0.1229166667,,,,,,,,,,
1.3125,-0.81,4.125,0.01,0.1230208333,,,,,,,,,,
1.125,-1.39,3.75,-0.03,0.1231250000,,,,,,,,,,
1.0625,-2.11,3.375,-0.04,0.1232291667,,,,,,,,,,
1,-2.68,3,-0.03,0.1233333333,,,,,,,,,,
0.875,-2.97,2.625,-0.01,0.1234375000,,,,,,,,,,
0.625,-3.06,2.25,0.04,0.1235416667,,,,,,,,,,
0.375,-3.05,1.875,0.02,0.1236458333,,,,,,,,,,
0.125,-3.04,1.5,0.01,0.1237500000,,,,,,,,,,
-0.1875,-2.82,1.125,-0.03,0.1238541667,,,,,,,,,,
-0.4375,-2.54,0.75,0,0.1239583333,,,,,,,,,,
-0.6875,-2.23,0.375,0.02,0.1240625000,,,,,,,,,,
-1.0625,-2.12,0,-0.03,0.1241666667,,,,,,,,,,
-1.375,-1.86,-0.375,-0.01,0.1242708333,,,,,,,,,,
-1.6875,-1.54,-0.75,0.01,0.1243750000,,,,,,,,,,
-1.9375,-1.42,-1.0625,0,0.1244791667,,,,,,,,,,
-2,-1.16,-1.4375,0.03,0.1245833333,,,,,,,,,,
-2.125,-1.46,-1.75,0.02,0.1246875000,,,,,,,,,,
-2.1875,-1.79,-2,0.06,0.1247916667,,,,,,,,,,
-2.25,-2.12,-2.3125,0.02,0.1248958333,,,,,,,,,,
-2.3125,-2.4,-2.5,0.02,0.1250000000,,,,,,,,,,
-2.25,-2.81,-2.75,-0.04,0.1251041667,,,,,,,,,,
-2.5,-3.05,-2.9375,0.02,0.1252083333,,,,,,,,,,
-2.6875,-3.19,-3.125,-0.01,0.1253125000,,,,,,,,,,
-2.875,-3.42,-3.25,0.04,0.1254166667,,,,,,,,,,
-3.125,-3.84,-3.375,0.04,0.1255208333,,,,,,,,,,
-3.1875,-4.68,-3.5,0.03,0.1256250000,,,,,,,,,,
-3.25,-6.02,-3.5625,-0.01,0.1257291667,,,,,,,,,,
-3.125,-7.45,-3.6875,-0.01,0.1258333333,,,,,,,,,,
-2.8125,-8.69,-3.6875,-0.01,0.1259375000,,,,,,,,,,
-2.875,-9.38,-3.6875,-0.02,0.1260416667,,,,,,,,,,
-3,-9.57,-3.6875,-0.01,0.1261458333,,,,,,,,,,
-3.125,-7.96,-3.6875,0,0.1262500000,,,,,,,,,,
-3.1875,-7.33,-3.625,0.03,0.1263541667,,,,,,,,,,
-3.625,-6.33,-3.5625,-0.04,0.1264583333,,,,,,,,,,
-4.5,-5.46,-3.4375,0.01,0.1265625000,,,,,,,,,,
-3.8125,-6.43,-3.3125,-0.04,0.1266666667,,,,,,,,,,
-3.6875,-8.22,-3.1875,0,0.1267708333,,,,,,,,,,
-3.6875,-8.59,-3,0.03,0.1268750000,,,,,,,,,,
-2.8125,-9.7,-2.75,0.02,0.1269791667,,,,,,,,,,
-2.8125,-9.61,-2.5625,0.03,0.1270833333,,,,,,,,,,
-3,-8.72,-2.3125,-0.04,0.1271875000,,,,,,,,,,
-2.9375,-5.31,-2,0.02,0.1272916667,,,,,,,,,,
-2.9375,-3.31,-1.6875,0,0.1273958333,,,,,,,,,,
-4.1875,0.03,-1.375,-0.03,0.1275000000,,,,,,,,,,
-4.1875,1.5,-1,0.02,0.1276041667,,,,,,,,,,
-3.375,0.46,-0.625,0.02,0.1277083333,,,,,,,,,,
-2.9375,-2.48,-0.25,-0.01,0.1278125000,,,,,,,,,,
-2.9375,-5.79,0.0625,0,0.1279166667,,,,,,,,,,
-1.6875,-6.15,0.4375,-0.03,0.1280208333,,,,,,,,,,
-1.125,-1.79,0.8125,0.03,0.1281250000,,,,,,,,,,
-1.1875,0.25,1.1875,-0.02,0.1282291667,,,,,,,,,,
-1.1875,5.22,1.5625,0,0.1283333333,,,,,,,,,,
-2.5,7.19,1.9375,0,0.1284375000,,,,,,,,,,
-1.875,8.36,2.3125,-0.01,0.1285416667,,,,,,,,,,
-2.3125,9.06,2.625,-0.01,0.1286458333,,,,,,,,,,
-1.5625,8.96,3,-0.03,0.1287500000,,,,,,,,,,
-1.0625,9.63,3.375,0.01,0.1288541667,,,,,,,,,,
-1.0625,9.41,3.375,-0.04,0.1289583333,,,,,,,,,,
-0.5,9.51,4,-0.01,0.1290625000,,,,,,,,,,
0.25,9.72,4.3125,-0.03,0.1291666667,,,,,,,,,,
0.25,9.83,4.625,0.02,0.1292708333,,,,,,,,,,
0.5625,9.76,4.9375,0,0.1293750000,,,,,,,,,,
0.6875,9.12,5.1875,0.02,0.1294791667,,,,,,,,,,
0.6875,8.04,5.1875,-0.01,0.1295833333,,,,,,,,,,
1,7.69,5.75,0.04,0.1296875000,,,,,,,,,,
1.5,6.59,5.75,-0.02,0.1297916667,,,,,,,,,,
1.5,5.96,6.0625,0.01,0.1298958333,,,,,,,,,,
1.8125,5.27,6.0625,0,0.1300000000,,,,,,,,,,
1.8125,4.7,6.375,-0.01,0.1301041667,,,,,,,,,,
1.8125,4.37,6.375,0.01,0.1302083333,,,,,,,,,,
1.75,3.89,6.5,0.05,0.1303125000,,,,,,,,,,
1.8125,3.53,6.5,0.02,0.1304166667,,,,,,,,,,
1.8125,3.16,6.5625,0.03,0.1305208333,,,,,,,,,,
1.875,3,6.5625,0,0.1306250000,,,,,,,,,,
2,2.55,6.625,-0.02,0.1307291667,,,,,,,,,,
2.1875,2.36,6.625,-0.05,0.1308333333,,,,,,,,,,
2.25,2.22,6.5625,-0.04,0.1309375000,,,,,,,,,,
2.25,2.27,6.5,0,0.1310416667,,,,,,,,,,
2.3125,2.38,6.4375,-0.01,0.1311458333,,,,,,,,,,
2.125,2.65,6.375,0.01,0.1312500000,,,,,,,,,,
2.125,2.65,6.1875,0.03,0.1313541667,,,,,,,,,,
1.9375,2.59,5.875,0.03,0.1314583333,,,,,,,,,,
1.8125,2.44,5.875,-0.06,0.1315625000,,,,,,,,,,
1.5625,1.91,5.625,0.04,0.1316666667,,,,,,,,,,
1.5,0.99,5.0625,0.04,0.1317708333,,,,,,,,,,
1.5,0.47,5.0625,-0.01,0.1318750000,,,,,,,,,,
1.4375,-0.31,4.4375,0,0.1319791667,,,,,,,,,,
1.625,-0.73,4.4375,0,0.1320833333,,,,,,,,,,
1.6875,-0.88,4.125,0,0.1321875000,,,,,,,,,,
1.4375,-1.1,3.8125,0.05,0.1322916667,,,,,,,,,,
1.3125,-1.1,3.5,-0.01,0.1323958333,,,,,,,,,,
1.125,-1.1,2.8125,0.01,0.1325000000,,,,,,,,,,
1,-1.18,2.8125,0.02,0.1326041667,,,,,,,,,,
0.75,-1.22,2.4375,0,0.1327083333,,,,,,,,,,
0.5,-1.34,2.125,0.01,0.1328125000,,,,,,,,,,
0.3125,-1.29,1.75,-0.01,0.1329166667,,,,,,,,,,
0.125,-1.27,1.0625,-0.01,0.1330208333,,,,,,,,,,
-0.1875,-1.25,1.0625,-0.01,0.1331250000,,,,,,,,,,
-0.4375,-1.19,0.6875,-0.03,0.1332291667,,,,,,,,,,
-0.625,-1.18,0.3125,-0.04,0.1333333333,,,,,,,,,,
-0.8125,-0.93,0,0.02,0.1334375000,,,,,,,,,,
-1.0625,-0.86,-0.6875,0.02,0.1335416667,,,,,,,,,,
-1.1875,-0.82,-0.6875,-0.02,0.1336458333,,,,,,,,,,
-1.3125,-0.63,-1,0.05,0.1337500000,,,,,,,,,,
-1.4375,-0.57,-1.3125,0.01,0.1338541667,,,,,,,,,,
-1.5625,-0.66,-1.625,0,0.1339583333,,,,,,,,,,
-1.75,-0.76,-2.125,-0.04,0.1340625000,,,,,,,,,,
-1.875,-0.7,-2.125,0.05,0.1341666667,,,,,,,,,,
-2.0625,-0.87,-2.3125,-0.05,0.1342708333,,,,,,,,,,
-2.1875,-1.14,-2.5,-0.02,0.1343750000,,,,,,,,,,
-2.375,-1.52,-2.6875,0,0.1344791667,,,,,,,,,,
-2.5,-2.13,-2.875,-0.01,0.1345833333,,,,,,,,,,
-2.5625,-2.65,-3,-0.02,0.1346875000,,,,,,,,,,
-2.5625,-3.44,-3.125,0.02,0.1347916667,,,,,,,,,,
-2.5625,-3.98,-3.25,0.01,0.1348958333,,,,,,,,,,
-2.625,-4.37,-3.3125,0.06,0.1350000000,,,,,,,,,,
-2.625,-4.53,-3.375,-0.01,0.1351041667,,,,,,,,,,
-2.75,-4.56,-3.4375,-0.02,0.1352083333,,,,,,,,,,
-2.8125,-4.58,-3.4375,-0.03,0.1353125000,,,,,,,,,,
-2.8125,-4.59,-3.375,0.02,0.1354166667,,,,,,,,,,
-2.875,-4.81,-3.375,0.01,0.1355208333,,,,,,,,,,
-2.8125,-4.81,-3.3125,-0.11,0.1356250000,,,,,,,,,,
-2.875,-4.92,-3.25,0.03,0.1357291667,,,,,,,,,,
-2.9375,-4.87,-3.125,-0.02,0.1358333333,,,,,,,,,,
-3,-4.68,-3,0.03,0.1359375000,,,,,,,,,,
-3,-4.58,-2.8125,-0.04,0.1360416667,,,,,,,,,,
-3,-4.49,-2.6875,-0.04,0.1361458333,,,,,,,,,,
-2.9375,-4.46,-2.4375,-0.05,0.1362500000,,,,,,,,,,
-2.875,-4.28,-2.25,0.01,0.1363541667,,,,,,,,,,
-2.6875,-4,-2,-0.03,0.1364583333,,,,,,,,,,
-2.5625,-3,-1.75,0.02,0.1365625000,,,,,,,,,,
-2.4375,-1.9,-1.5,0,0.1366666667,,,,,,,,,,
-2.375,-1.01,-1.1875,-0.05,0.1367708333,,,,,,,,,,
-2.625,0.55,-0.875,0.01,0.1368750000,,,,,,,,,,
-2.75,1.53,-0.5625,-0.01,0.1369791667,,,,,,,,,,
-2.5,1.96,-0.25,0.02,0.1370833333,,,,,,,,,,
-2.3125,2.22,0.125,0.01,0.1371875000,,,,,,,,,,
-2.0625,2.64,0.4375,-0.03,0.1372916667,,,,,,,,,,
-1.6875,3.01,0.8125,-0.02,0.1373958333,,,,,,,,,,
-1.4375,3.58,1.125,-0.01,0.1375000000,,,,,,,,,,
-1.375,4.28,1.5,0.04,0.1376041667,,,,,,,,,,
-1.375,5.07,1.875,0,0.1377083333,,,,,,,,,,
-1.3125,5.66,2.1875,0.02,0.1378125000,,,,,,,,,,
-1.0625,5.81,2.5,0.02,0.1379166667,,,,,,,,,,
-0.75,5.83,2.875,-0.01,0.1380208333,,,,,,,,,,
-0.5,5.72,3.1875,-0.02,0.1381250000,,,,,,,,,,
-0.1875,5.56,3.5,-0.03,0.1382291667,,,,,,,,,,
0.25,5.12,3.8125,-0.06,0.1383333333,,,,,,,,,,
0.4375,4.59,4.125,0,0.1384375000,,,,,,,,,,
0.625,4.18,4.4375,0.04,0.1385416667,,,,,,,,,,
0.9375,3.54,4.6875,0.04,0.1386458333,,,,,,,,,,
1.125,3,4.9375,0.06,0.1387500000,,,,,,,,,,
1.125,2.5,5.1875,0,0.1388541667,,,,,,,,,,
1.25,2.21,5.4375,0,0.1389583333,,,,,,,,,,
1.375,1.81,5.6875,0.04,0.1390625000,,,,,,,,,,
1.4375,1.6,5.875,-0.03,0.1391666667,,,,,,,,,,
1.5625,1.48,6,0.05,0.1392708333,,,,,,,,,,
1.6875,1.29,6.125,0.01,0.1393750000,,,,,,,,,,
1.8125,1.35,6.25,-0.01,0.1394791667,,,,,,,,,,
1.875,1.38,6.3125,0.06,0.1395833333,,,,,,,,,,
1.9375,1.51,6.375,-0.03,0.1396875000,,,,,,,,,,
1.9375,1.56,6.4375,0.01,0.1397916667,,,,,,,,,,
1.9375,1.66,6.4375,0.02,0.1398958333,,,,,,,,,,
1.9375,1.77,6.4375,0.01,0.1400000000,,,,,,,,,,
1.875,1.73,6.4375,-0.04,0.1401041667,,,,,,,,,,
1.875,1.71,6.4375,-0.02,0.1402083333,,,,,,,,,,
1.875,1.48,6.375,-0.01,0.1403125000,,,,,,,,,,
1.875,1.43,6.25,-0.04,0.1404166667,,,,,,,,,,
1.875,1.2,6.25,-0.01,0.1405208333,,,,,,,,,,
1.875,1.02,5.9375,-0.01,0.1406250000,,,,,,,,,,
1.875,0.76,5.75,0.07,0.1407291667,,,,,,,,,,
1.875,0.55,5.5625,0.03,0.1408333333,,,,,,,,,,
1.8125,0.38,5.3125,0.01,0.1409375000,,,,,,,,,,
1.75,0.42,5.0625,-0.01,0.1410416667,,,,,,,,,,
1.6875,0.24,4.75,-0.01,0.1411458333,,,,,,,,,,
1.5,0.27,4.4375,-0.01,0.1412500000,,,,,,,,,,
1.375,0.04,4.1875,0.02,0.1413541667,,,,,,,,,,
1.25,-0.05,3.875,0,0.1414583333,,,,,,,,,,
1.0625,-0.26,3.5625,-0.01,0.1415625000,,,,,,,,,,
0.9375,-0.37,3.1875,0,0.1416666667,,,,,,,,,,
0.75,-0.66,2.875,0.04,0.1417708333,,,,,,,,,,
0.5625,-0.91,2.5625,0,0.1418750000,,,,,,,,,,
0.4375,-1.01,2.25,-0.01,0.1419791667,,,,,,,,,,
0.3125,-1.08,1.9375,0.02,0.1420833333,,,,,,,,,,
0.1875,-1.22,1.5625,0,0.1421875000,,,,,,,,,,
0,-1.1,1.25,-0.01,0.1422916667,,,,,,,,,,
-0.0625,-1.11,0.9375,0,0.1423958333,,,,,,,,,,
-0.25,-0.97,0.625,-0.02,0.1425000000,,,,,,,,,,
-0.4375,-0.89,0.25,-0.01,0.1426041667,,,,,,,,,,
-0.625,-0.8,-0.0625,-0.02,0.1427083333,,,,,,,,,,
-0.8125,-0.77,-0.375,-0.02,0.1428125000,,,,,,,,,,
-1,-0.57,-0.625,-0.05,0.1429166667,,,,,,,,,,
-1.25,-0.5,-0.9375,-0.01,0.1430208333,,,,,,,,,,
-1.4375,-0.37,-1.1875,0.02,0.1431250000,,,,,,,,,,
-1.6875,-0.44,-1.4375,-0.02,0.1432291667,,,,,,,,,,
-1.8125,-0.49,-1.625,0.01,0.1433333333,,,,,,,,,,
-1.9375,-0.57,-1.875,0.01,0.1434375000,,,,,,,,,,
-2.0625,-0.76,-2,0,0.1435416667,,,,,,,,,,
-2.125,-1.08,-2.1875,0.02,0.1436458333,,,,,,,,,,
-2.1875,-1.4,-2.3125,-0.03,0.1437500000,,,,,,,,,,
-2.1875,-1.77,-2.4375,-0.04,0.1438541667,,,,,,,,,,
-2.1875,-2.11,-2.5625,0.01,0.1439583333,,,,,,,,,,
-2.1875,-2.29,-2.6875,0.07,0.1440625000,,,,,,,,,,
-2.3125,-2.5,-2.75,0,0.1441666667,,,,,,,,,,
-2.3125,-2.48,-2.8125,-0.06,0.1442708333,,,,,,,,,,
-2.5625,-2.49,-2.8125,0.01,0.1443750000,,,,,,,,,,
-2.625,-2.52,-2.8125,0.05,0.1444791667,,,,,,,,,,
-2.625,-2.76,-2.75,-0.05,0.1445833333,,,,,,,,,,
-2.8125,-3.01,-2.75,-0.01,0.1446875000,,,,,,,,,,
-2.8125,-3.6,-2.6875,0.02,0.1447916667,,,,,,,,,,
-2.75,-4.07,-2.625,-0.01,0.1448958333,,,,,,,,,,
-2.75,-4.62,-2.5,0.01,0.1450000000,,,,,,,,,,
-2.75,-4.93,-2.375,-0.02,0.1451041667,,,,,,,,,,
-2.625,-4.95,-2.1875,0.02,0.1452083333,,,,,,,,,,
-2.5625,-4.78,-2,0.01,0.1453125000,,,,,,,,,,
-2.5,-3.9,-1.8125,-0.05,0.1454166667,,,,,,,,,,
-2.4375,-2.88,-1.625,0.03,0.1455208333,,,,,,,,,,
-2.4375,-2.18,-1.375,-0.01,0.1456250000,,,,,,,,,,
-2.9375,-1,-1.125,0.02,0.1457291667,,,,,,,,,,
-2.9375,-0.49,-0.875,-0.03,0.1458333333,,,,,,,,,,
-2.6875,-0.41,-0.625,0.07,0.1459375000,,,,,,,,,,
-2.6875,-0.8,-0.3125,0.03,0.1460416667,,,,,,,,,,
-2.4375,-1.7,-0.3125,0,0.1461458333,,,,,,,,,,
-2.4375,-1.48,0,-0.02,0.1462500000,,,,,,,,,,
-2,-1.6,0.3125,-0.04,0.1463541667,,,,,,,,,,
-1.5,-0.23,0.625,0,0.1464583333,,,,,,,,,,
-1.25,0.5,1.25,0.02,0.1465625000,,,,,,,,,,
-1.375,1.83,1.625,0.04,0.1466666667,,,,,,,,,,
-1.375,3.25,1.9375,-0.03,0.1467708333,,,,,,,,,,
-1.875,4.33,2.25,0.02,0.1468750000,,,,,,,,,,
-1.5625,4.9,2.25,0.01,0.1469791667,,,,,,,,,,
-1.4375,4.96,2.875,0,0.1470833333,,,,,,,,,,
-1.1875,5.01,2.875,-0.04,0.1471875000,,,,,,,,,,
-0.8125,4.87,3.1875,0.01,0.1472916667,,,,,,,,,,
-0.4375,4.45,3.5,-0.02,0.1473958333,,,,,,,,,,
0.0625,4.17,4.0625,-0.05,0.1475000000,,,,,,,,,,
0.0625,3.94,4.375,-0.02,0.1476041667,,,,,,,,,,
0.3125,3.55,4.375,-0.01,0.1477083333,,,,,,,,,,
0.5625,3.05,4.625,-0.07,0.1478125000,,,,,,,,,,
0.75,2.72,5.125,0.02,0.1479166667,,,,,,,,,,
0.9375,2.4,5.125,0.01,0.1480208333,,,,,,,,,,
1.125,2.03,5.375,0,0.1481250000,,,,,,,,,,
1.3125,1.68,5.75,0,0.1482291667,,,,,,,,,,
1.4375,1.56,5.875,0.06,0.1483333333,,,,,,,,,,
1.5,1.33,5.875,0,0.1484375000,,,,,,,,,,
1.625,1.34,6.0625,0.05,0.1485416667,,,,,,,,,,
1.6875,1.24,6.25,-0.01,0.1486458333,,,,,,,,,,
1.625,1.37,6.25,-0.01,0.1487500000,,,,,,,,,,
1.5625,1.33,6.3125,0.02,0.1488541667,,,,,,,,,,
1.5625,1.37,6.375,-0.03,0.1489583333,,,,,,,,,,
1.5625,1.22,6.4375,0.07,0.1490625000,,,,,,,,,,
1.5625,1.18,6.4375,0,0.1491666667,,,,,,,,,,
1.625,0.95,6.375,-0.01,0.1492708333,,,,,,,,,,
1.75,0.8,6.375,-0.02,0.1493750000,,,,,,,,,,
1.75,0.71,6.3125,-0.01,0.1494791667,,,,,,,,,,
1.875,0.6,6.25,0,0.1495833333,,,,,,,,,,
1.9375,0.72,6.1875,-0.01,0.1496875000,,,,,,,,,,
1.875,0.78,6.0625,-0.03,0.1497916667,,,,,,,,,,
1.875,1.05,5.875,0.04,0.1498958333,,,,,,,,,,
1.8125,0.93,5.75,-0.04,0.1500000000,,,,,,,,,,
1.6875,0.97,5.3125,-0.01,0.1501041667,,,,,,,,,,
1.5,0.94,5.3125,0.01,0.1502083333,,,,,,,,,,
1.4375,0.73,5.0625,0.01,0.1503125000,,,,,,,,,,
1.3125,0.37,4.8125,0,0.1504166667,,,,,,,,,,
1.1875,0.05,4.5625,0,0.1505208333,,,,,,,,,,
1.125,-0.22,4.3125,0,0.1506250000,,,,,,,,,,
1,-0.39,4,-0.03,0.1507291667,,,,,,,,,,
1,-0.45,3.75,0.06,0.1508333333,,,,,,,,,,
0.875,-0.61,3.4375,0.02,0.1509375000,,,,,,,,,,
0.6875,-0.65,3.125,0.06,0.1510416667,,,,,,,,,,
0.625,-0.68,2.8125,-0.06,0.1511458333,,,,,,,,,,
0.5,-0.77,2.5,0.03,0.1512500000,,,,,,,,,,
0.3125,-0.73,2.1875,0,0.1513541667,,,,,,,,,,
0.25,-0.71,1.875,-0.05,0.1514583333,,,,,,,,,,
0.0625,-0.75,1.5625,0,0.1515625000,,,,,,,,,,
-0.1875,-0.64,1.25,0.01,0.1516666667,,,,,,,,,,
-0.375,-0.63,1,0.05,0.1517708333,,,,,,,,,,
-0.5625,-0.52,0.6875,-0.02,0.1518750000,,,,,,,,,,
-0.75,-0.46,0.375,-0.03,0.1519791667,,,,,,,,,,
-0.9375,-0.41,0.0625,0.03,0.1520833333,,,,,,,,,,
-1.125,-0.41,-0.1875,0.03,0.1521875000,,,,,,,,,,
-1.25,-0.34,-0.4375,-0.04,0.1522916667,,,,,,,,,,
-1.3125,-0.41,-0.6875,-0.04,0.1523958333,,,,,,,,,,
-1.4375,-0.2,-0.9375,0.01,0.1525000000,,,,,,,,,,
-1.5,-0.26,-1.1875,0.03,0.1526041667,,,,,,,,,,
-1.625,-0.43,-1.375,0,0.1527083333,,,,,,,,,,
-1.75,-0.54,-1.5625,0.03,0.1528125000,,,,,,,,,,
-1.8125,-0.76,-1.75,0.01,0.1529166667,,,,,,,,,,
-1.875,-0.86,-1.875,0.07,0.1530208333,,,,,,,,,,
-2,-1.02,-2,-0.02,0.1531250000,,,,,,,,,,
-2.0625,-1.22,-2.125,-0.01,0.1532291667,,,,,,,,,,
-2.25,-1.38,-2.1875,-0.01,0.1533333333,,,,,,,,,,
-2.3125,-1.62,-2.3125,-0.01,0.1534375000,,,,,,,,,,
-2.375,-2,-2.375,0.01,0.1535416667,,,,,,,,,,
-2.4375,-2.42,-2.375,0.05,0.1536458333,,,,,,,,,,
-2.4375,-2.81,-2.375,0.01,0.1537500000,,,,,,,,,,
-2.4375,-3.16,-2.375,0.02,0.1538541667,,,,,,,,,,
-2.375,-3.23,-2.375,0,0.1539583333,,,,,,,,,,
-2.375,-3.24,-2.3125,-0.01,0.1540625000,,,,,,,,,,
-2.375,-3.13,-2.25,0.04,0.1541666667,,,,,,,,,,
-2.4375,-2.82,-2.1875,0.02,0.1542708333,,,,,,,,,,
-2.4375,-2.51,-2,-0.04,0.1543750000,,,,,,,,,,
-2.4375,-2.17,-1.875,0.03,0.1544791667,,,,,,,,,,
-2.5,-2.04,-1.6875,0.05,0.1545833333,,,,,,,,,,
-2.5625,-1.84,-1.5,0.02,0.1546875000,,,,,,,,,,
-2.625,-1.49,-1.3125,-0.05,0.1547916667,,,,,,,,,,
-2.5625,-1.82,-1.0625,0.01,0.1548958333,,,,,,,,,,
-2.4375,-1.74,-0.8125,0.03,0.1550000000,,,,,,,,,,
-2.3125,-1.85,-0.5625,-0.07,0.1551041667,,,,,,,,,,
-2,-1.62,-0.3125,-0.02,0.1552083333,,,,,,,,,,
-1.875,-1.25,-0.0625,0.02,0.1553125000,,,,,,,,,,
-1.75,0.02,0.25,0.04,0.1554166667,,,,,,,,,,
-1.6875,0.52,0.5,-0.03,0.1555208333,,,,,,,,,,
-1.875,1.54,0.8125,0.01,0.1556250000,,,,,,,,,,
-2.125,2.25,1.125,-0.02,0.1557291667,,,,,,,,,,
-1.625,2.45,1.4375,0,0.1558333333,,,,,,,,,,
-1.5625,2.52,1.75,-0.01,0.1559375000,,,,,,,,,,
-1.4375,2.65,2.0625,-0.03,0.1560416667,,,,,,,,,,
-1.0625,2.7,2.375,-0.02,0.1561458333,,,,,,,,,,
-0.75,2.76,2.625,-0.05,0.1562500000,,,,,,,,,,
-0.625,2.75,2.9375,0.01,0.1563541667,,,,,,,,,,
-0.5625,2.74,3.25,0,0.1564583333,,,,,,,,,,
-0.4375,2.75,3.5,-0.04,0.1565625000,,,,,,,,,,
-0.1875,2.72,3.8125,-0.05,0.1566666667,,,,,,,,,,
0,2.45,4.0625,-0.05,0.1567708333,,,,,,,,,,
0.1875,2.34,4.3125,-0.06,0.1568750000,,,,,,,,,,
0.375,2.11,4.5,-0.01,0.1569791667,,,,,,,,,,
0.625,1.85,4.75,0,0.1570833333,,,,,,,,,,
0.6875,1.59,5,0.02,0.1571875000,,,,,,,,,,
0.8125,1.32,5.1875,0.03,0.1572916667,,,,,,,,,,
0.9375,1.12,5.375,0,0.1573958333,,,,,,,,,,
1.0625,0.95,5.5625,0.02,0.1575000000,,,,,,,,,,
1.125,0.79,5.6875,-0.02,0.1576041667,,,,,,,,,,
1.1875,0.62,5.8125,0.01,0.1577083333,,,,,,,,,,
1.25,0.57,5.9375,-0.03,0.1578125000,,,,,,,,,,
1.3125,0.65,6,0.03,0.1579166667,,,,,,,,,,
1.3125,0.63,6.0625,0.02,0.1580208333,,,,,,,,,,
1.4375,0.6,6.125,-0.01,0.1581250000,,,,,,,,,,
1.5,0.62,6.125,0.01,0.1582291667,,,,,,,,,,
1.5625,0.66,6.125,0.05,0.1583333333,,,,,,,,,,
1.625,0.58,6.125,0,0.1584375000,,,,,,,,,,
1.6875,0.62,6.0625,0.01,0.1585416667,,,,,,,,,,
1.6875,0.71,6,0,0.1586458333,,,,,,,,,,
1.6875,0.78,5.9375,0.01,0.1587500000,,,,,,,,,,
1.6875,0.84,5.8125,0.01,0.1588541667,,,,,,,,,,
1.625,0.76,5.6875,-0.03,0.1589583333,,,,,,,,,,
1.5,0.81,5.5625,-0.04,0.1590625000,,,,,,,,,,
1.4375,0.71,5.375,0,0.1591666667,,,,,,,,,,
1.375,0.58,5.1875,0,0.1592708333,,,,,,,,,,
1.3125,0.51,5,-0.01,0.1593750000,,,,,,,,,,
1.3125,0.41,4.75,-0.02,0.1594791667,,,,,,,,,,
1.25,0.22,4.5625,0.04,0.1595833333,,,,,,,,,,
1.1875,0.06,4.3125,0.01,0.1596875000,,,,,,,,,,
1.125,-0.08,4.0625,0.01,0.1597916667,,,,,,,,,,
1.0625,-0.05,3.75,-0.02,0.1598958333,,,,,,,,,,
1,-0.12,3.5,0.03,0.1600000000,,,,,,,,,,
0.875,-0.13,3.1875,0.02,0.1601041667,,,,,,,,,,
0.75,-0.21,2.9375,0,0.1602083333,,,,,,,,,,
0.625,-0.27,2.625,-0.04,0.1603125000,,,,,,,,,,
0.4375,-0.36,2.3125,-0.01,0.1604166667,,,,,,,,,,
0.25,-0.47,2.0625,0.01,0.1605208333,,,,,,,,,,
0.25,-0.54,1.75,-0.02,0.1606250000,,,,,,,,,,
-0.0625,-0.62,1.4375,0,0.1607291667,,,,,,,,,,
-0.1875,-0.41,1.1875,0.03,0.1608333333,,,,,,,,,,
-0.1875,-0.43,0.875,-0.01,0.1609375000,,,,,,,,,,
-0.5625,-0.28,0.625,-0.07,0.1610416667,,,,,,,,,,
